REF_TEMP,AMBIENT_AIR_TEMP,IN_PAVEMENT_TEMP,INTERNAL_TEMP,BATTERY_VOLTAGE,TMR_PAV,TMR_SUB_0,TMR_SUB_3,TMR_SUB_6,TMR_SUB_9,TMR_SUB_12,TMR_SUB_18,TMR_SUB_24,TMR_SUB_30,TMR_SUB_36,TMR_SUB_42,TMR_SUB_48,TMR_SUB_54,TMR_SUB_60,TMR_SUB_66,TMR_SUB_72,TIMEZONE_FLAG
45.59,40.54,45.698,45.644,13.86,36.94,35.08,33.45,32.34,32.2,32.06,31.78,31.92,32.06,32.06,32.69,33.03,33.52,34.13,34.74,35.08,0
41.32,34.87,41.445,41.32,13.94,34.29,34.63,33.67,32.35,32,31.86,31.79,32,32,32.21,32.98,33.11,34.01,34.41,34.48,34.63,0
35.06,27.46,35.251,35.058,14.03,30.1,33.48,33.89,33.55,32.51,31.67,31.74,31.74,31.67,32.16,32.23,31.94,32.72,32.93,33.41,33.48,1
57.22,53.41,57.452,57.236,13.66,54.4,57.57,58.21,58.47,58.63,58.95,59.36,59.42,59.57,59.83,59.57,58.9,58.84,58.47,58.09,57.57,1
44.84,38.22,43.358,44.87,13.91,39.4,33.53,32.84,32.63,32.55,32.14,31.92,31.85,31.86,32,32.2,32.2,32.91,33.32,33.39,33.53,1
61.35,58.1,61.07,61.358,13.6,53.79,52.92,52.53,51.93,51.42,51.08,50.36,50.3,50.08,50.42,51.08,51.25,52.08,52.47,52.53,52.92,1
55.95,48.79,56.066,55.958,13.69,54.3,56.46,57.26,57.74,58.11,58.32,58.74,58.95,58.95,58.69,58.21,57.68,57.47,57.05,56.83,56.46,1
52.87,48.41,52.88,52.88,13.74,52.45,56.36,57.54,58.48,58.75,58.96,58.85,58.54,58.38,57.96,57.8,57.48,57.32,56.84,56.52,56.36,1
42.59,39.31,42.548,42.588,13.9,33.46,31.86,31.37,30.14,29.57,29.2,28.91,28.91,29.2,29.49,30.43,31.51,32.21,32.14,32.14,31.86,0
41.41,34.4,41.52,41.405,13.92,32.28,32.42,32.28,32.56,32.42,32.14,32.07,32,32.21,32.07,31.93,31.93,32.21,32.14,32.14,32.42,0
36.66,28.06,36.916,36.642,13.99,29.22,32.15,32.36,32.08,32.15,32.22,32.08,32.01,32.01,32.29,32.22,32.15,32.08,32.15,32.08,32.15,0
37.78,33.15,37.603,37.762,13.98,31.8,32.15,32.15,32.08,32.15,32.08,32.22,32.29,32.5,32.08,31.8,31.73,32.15,32.15,32.08,32.15,0
41.98,32.87,42.282,41.979,13.92,37.47,32.21,32,31.51,31.37,31.23,31.15,31.29,31.01,31.37,31.51,31.58,32.07,31.93,32.07,32.21,0
40.52,32.81,40.793,40.505,13.92,33.54,32.42,31.3,31.3,30.94,30.59,30.51,30.52,30.51,31.09,31.58,31.51,32,31.79,32.28,32.42,0
45.75,35.96,45.752,45.68,13.86,40.4,32.83,31.71,31.7,31.42,31.35,31,30.93,31.07,31.07,31.29,31.63,32.13,32.41,32.69,32.83,1
46.04,30.68,47.246,46.058,13.84,39.52,32.89,31.7,31.49,31.56,31.06,30.99,30.71,30.56,30.63,31.2,31.49,31.84,32.19,32.33,32.89,0
38.55,36.23,38.547,38.572,13.97,33.95,32.64,32.22,32.22,31.8,31.94,31.23,31.02,31.09,31.52,31.8,31.87,32.01,32.15,32.36,32.64,1
61.55,56.66,32,32,13.61,60.08,59.71,60.44,61.84,62.76,63.48,64.14,64.76,64.81,64.56,63.69,62.97,62.31,61.22,60.7,59.71,
38.54,34.9,32,32,13.97,32.5,32.29,31.66,31.52,31.3,30.59,30.16,30.01,30.52,30.08,29.94,30.59,32.15,32.43,32.15,32.29,
41.02,37.03,32,32,13.94,33.61,32.21,31.72,31.58,30.94,30.87,30.66,30.08,30.3,30.52,30.8,31.44,32.28,32,31.79,32.21,
37.32,24.9,32,32,13.98,27.74,32.15,32.57,32.15,32.15,31.87,31.66,31.31,31.73,31.8,31.87,31.87,32.15,31.94,32.08,32.15,
37.57,29.3,32,32,13.98,30.23,32.36,32.15,32.29,32.22,31.94,31.8,31.52,31.66,31.87,32.01,32.22,32.22,32.08,32.15,32.36,
38.6,36.4,32,32,13.97,34.02,32.29,32.22,31.8,31.45,31.38,30.94,30.87,30.73,30.94,31.3,31.87,32.01,32.01,31.94,32.29,
37.51,33.33,32,32,13.99,32.36,32.43,32.5,32.29,32.22,31.52,31.45,31.31,31.31,31.73,31.94,31.94,32.29,32.15,32.01,32.43,
37.18,25.54,32,32,13.98,30.09,32.29,32.29,32.57,32.29,32.22,32.08,32.08,31.94,32.08,32.15,31.87,32.36,32.15,31.73,32.29,
55.27,31.61,32,32,13.68,36.84,32.51,31.67,32.16,32.09,31.74,31.88,31.88,31.39,32.09,32.23,32.23,32.23,32.23,32.3,32.51,
59.56,39.64,32,32,13.68,41.73,32.23,32.09,32.37,32.3,32.16,32.02,31.95,31.74,32.02,32.09,32.02,32.16,31.88,31.95,32.23,
37.47,27.58,32,32,13.98,30.02,32.43,32.43,32.29,32.29,32.01,32.08,32.01,32.01,32.15,32.43,32.15,32.43,32.29,32.22,32.43,
39.59,23.8,32,32,13.92,30.66,32.42,31.93,32.07,32.07,31.93,31.93,32.07,31.93,31.93,32.49,32.07,32.49,32.28,32.21,32.42,
53.33,39.95,32,32,13.76,45.61,32.39,32.04,32.18,31.76,31.69,31.62,31.83,31.76,32.25,32.25,31.83,32.39,31.83,32.04,32.39,
37.69,30.28,32,32,13.98,31.8,32.78,33.06,32.5,32.15,31.94,32.01,32.01,31.66,31.94,32.08,31.87,32.22,32.01,32.22,32.78,
49.67,35.87,32,32,13.81,45.62,32.61,31.91,31.91,32.05,32.12,32.12,32.4,32.33,32.33,32.19,32.05,32.19,32.19,32.26,32.61,
60.85,52.61,32,32,13.6,55.75,57.82,57.98,58.25,58.09,57.6,58.04,58.67,58.88,59.04,59.14,58.88,58.93,58.57,58.25,57.82,
51.68,43.56,32,32,13.75,53.78,59.86,62.54,64.39,65.66,66.36,67.17,67.32,66.71,65.71,64.74,63.52,62.6,61.36,60.53,59.86,
59.3,52.45,32,32,13.62,59.14,57.67,56.39,56.01,56.01,56.71,57.2,57.51,57.78,58.67,58.72,58.2,58.46,58.67,58.36,57.67,
54.5,44.26,32,32,13.7,52.39,57.53,58.79,59.32,59.53,58.75,58.27,58.42,58.69,58.42,58.42,58.37,58.63,58.11,57.53,57.53,
51.47,44.64,32,32,13.75,50.23,56.27,58.28,58.91,59.18,58.81,57.38,56.8,56.64,57.12,56.96,56.37,56.58,56.9,56.58,56.27,
37.8,31.42,32,32,13.98,31.73,32.22,32.01,32.15,32.15,32.08,32.15,31.73,32.22,31.87,31.73,31.73,32.08,31.52,32.01,32.22,
37.09,19,32,32,13.98,25.44,32.01,32.15,31.94,31.87,31.94,32.15,32.36,32.29,32.29,31.87,31.94,32.22,31.79,31.94,32.01,
37.01,20.93,32,32,13.98,26.14,31.45,31.02,29.87,29.36,28.48,27.36,26.82,25.75,26.9,27.58,28.25,30.01,30.52,30.8,31.45,
43.44,35.81,32,32,13.92,37.86,31.86,32.14,32.35,32.14,31.79,32.21,31.79,31.93,31.93,31.93,31.65,31.86,31.79,31.86,31.86,
46.02,30.65,32,32,13.81,31.2,31.77,31.13,30.71,30.35,29.99,29.26,28.96,28.37,28.44,28.52,28.82,29.69,30.63,31.2,31.77,
36.69,13.71,32,32,13.97,24.11,32.01,32.5,32.99,32.57,31.73,31.87,31.66,31.87,31.94,32.15,32.15,32.22,32.01,31.73,32.01,
36.59,14.7,32,32,13.98,23.94,31.87,32.01,32.57,32.22,32.08,31.94,32.22,31.94,32.01,32.15,31.87,32.01,31.94,32.01,31.87,
48.52,37.69,32,32,13.84,41.83,31.91,32.05,31.98,31.84,31.77,32.05,32.05,32.05,31.98,32.4,31.84,32.4,32.05,32.05,31.91,
59.05,53.71,56.07,14.67,13.65,55.59,54.19,54.13,54.62,55.49,56.01,56.93,57.41,57.3,57.09,56.56,55.59,55.26,54.73,54.4,54.19,
58.55,53.44,55.39,14.4,13.67,54.78,55.75,56.77,58.04,59.05,59.73,60.76,61.13,61.08,60.77,60.2,59,58.25,57.25,56.4,55.75,
59.46,56.51,53.02,15.03,13.64,52.32,55.32,56.39,57.51,58.2,59.19,59.51,59.78,59.78,60.45,59.57,58.36,57.67,57.41,56.6,55.32,
59.05,52.13,58.63,14.53,13.66,58.26,54.4,53.97,54.19,54.62,55.26,55.81,56.02,56.08,55.92,55.75,55.43,55.38,54.67,54.57,54.4,
60.99,54.29,60.36,15.33,13.64,59.73,55.26,55.16,56.07,56.93,57.46,58.25,58.67,58.72,58.67,58.36,57.62,57.04,56.49,55.96,55.26,
55.52,50.44,53.5,12.88,13.71,53.04,53.15,53.71,54.53,55.17,55.6,55.82,55.71,55.12,54.58,54.31,53.92,53.81,53.32,53.26,53.15,
55.3,50.37,53.57,13.08,13.7,53.1,55.76,56.46,56.93,57.52,57.63,58,58.42,58.53,58.53,58.27,57.42,57.2,56.3,56.03,55.76,
58.35,53.07,58.33,14.18,13.66,57.73,55.54,55.33,55.38,55.66,56.03,56.77,57.15,57.2,57.3,56.93,56.23,56.19,55.59,55.49,55.54,
54.39,48.55,52.69,12.54,13.71,52.39,54.69,55.39,55.93,55.98,56.14,56.52,56.46,56.25,55.88,55.71,55.28,55.44,55.17,54.9,54.69,
44.3,41.84,35.09,6.996,13.87,35.68,31.43,30.36,29.34,28.61,28.31,27.71,27.26,27.11,27.04,28.01,28.6,29.93,30.72,31.22,31.43,
39.97,33.6,30.75,4.572,13.94,30.73,32,32.21,32.07,31.86,31.86,31.72,31.72,31.65,31.37,32.22,32.07,32.42,31.86,31.93,32,
